Maize_Sample	345dcc18d51f44572bd67c08e5e95b8b	074e66f75650948b8df12cfe2ffb5f37	060fdbbfa61cbfb4d47350dc2a2019cd	d2208d27b5df4c53eb547f7ac45f4d6b	574d164310944193d8fc13dc10346e58	8cb92babedb9f4ff7bedee4ac4f47370	3e00a33b844a56c2e00acedeffc43b5e	0f5f7693288de84f4ade2e6abaa2440f	561ed5d9dab98c645f731a40b7b63fa4	a6d4742d8c802171498b62b6d79b1764	Location	Date_Taken	Sample_Type	Soil_Test_Number	PlantA_Or_B	Notes	GA_Microbiome	Living_Mulch	Endophyte	R1_Fastq_Name	R2_Fastq_Name	reads	Growing_Degree_Days	GPSlatitude	GPSlongitude	Living_Mulch_Treatment	quant_reading	Sample_or_Control	precipIntensity	precipProbability	temperatureHigh	temperatureLow	dewPoint	humidity	windSpeed	uvIndex	Sampling_Number	Lime_Buffer_Capacity	pH	Water_pH	Base_Saturation_perc	Cation_Exchange_Capacity	Ca_ppm	Cd_ppm	Cr_ppm	Cu_ppm	Fe_ppm	K_ppm	Mg_ppm	Mn_ppm	Mo_ppm	Na_ppm	Ni_ppm	P_ppm	Pb_ppm	Zn_ppm	Organic_Matter_perc	N_perc	Sampling_NumberGDD	Plate	Row	Column	Well	Concentration
GA1826Za600	0	0	0	0	0	0	0	0	0	0	Watkinsville_IronHorse	2018-05-21	Rhizosphere		a		True	False	False	GA18-26Za-600_S69_L001_R1_001.fastq.gz	GA18-26Za-600_S69_L001_R2_001.fastq.gz	51737	600.0	33.86829	-83.44996		764.0	Sample	0.003667213	0.3090164	81.84344	63.1641	62.49885	0.7665574	2.9981970000000002	8.327869	26.0	571.0	5.33	5.93	53.9	7.68	683.0	0.025	0.025	0.72	8.31	65.1	61.9	41.9	0.025	8.91	1.09	10.86	0.29	2.34	2.79	0.09	26600.0	4	F	9	F9	764.0
GA1813Za1400	0	0	0	0	0	1	0	0	0	0	Tennile	2018-06-07	Rhizosphere		a		True	False	False	GA18-13Za-1400_S84_L001_R1_001.fastq.gz	GA18-13Za-1400_S84_L001_R2_001.fastq.gz	81318	1400.0	32.89258	-82.76496		470.0	Sample	0.003480328	0.3142623	80.08606999999999	58.223769999999995	58.49869	0.7581967	3.129836	7.803278999999999	13.0	218.0	6.0	6.6	90.6	5.23	717.0	0.02	0.02	0.78	10.61	154.9	84.6	9.1	0.02	12.64	1.74	35.2	1.17	1.75	1.44	0.07	131400.0	4	G	12	G12	470.0
GA188Za600	0	1	0	0	0	1	0	0	0	0	Wadley	2018-05-07	Rhizosphere		a		True	False	False	GA18-8Za-600_S46_L001_R1_001.fastq.gz	GA18-8Za-600_S46_L001_R2_001.fastq.gz	69081	600.0	32.96009	-82.41694		534.333333	Sample	0.003618033	0.3568852	80.9523	58.69607	58.73262	0.7440984	3.482787	7.967213	8.0	245.0	6.16	6.76	94.7	6.39	770.0	0.0275	0.09	0.29	33.16	168.8	208.3	5.3	0.02	6.93	2.28	40.37	0.66	4.27	3.29	0.17	8600.0	4	D	10	D10	534.3333333333001
GA1830Zb600	0	0	0	0	0	0	0	0	0	0	Athens	2018-05-18	Rhizosphere		b		True	False	False	GA18-30Zb-600_S87_L001_R1_001.fastq.gz	GA18-30Zb-600_S87_L001_R2_001.fastq.gz	82856	600.0	33.72173	-83.30781		319.0	Sample	0.0031758059999999998	0.30854840000000006	82.42355	63.16194	61.83274	0.7496774	2.797581	8.645161	30.0	865.0	6.11	6.71	80.2	7.36	924.0	0.025	0.025	0.55	63.29	105.9	116.4	52.0	0.025	10.72	4.09	30.04	0.14	1.15	2.22	0.06	30600.0	4	H	3	H3	319.0
GA1815Za1400	0	0	0	0	0	1	0	0	0	0	Arlington	2018-05-31	Rhizosphere		a		True	False	False	GA18-15Za-1400_S32_L001_R1_001.fastq.gz	GA18-15Za-1400_S32_L001_R2_001.fastq.gz	101116	1400.0	31.42077	-84.67211999999999		203.0	Sample	0.004491525	0.24101689999999998	80.17237	59.71356	59.14	0.7488136	3.836102	8.305085	15.0	170.0	5.5	6.1	76.8	3.38	446.0	0.02	0.02	0.84	5.99	59.6	23.8	15.29	0.02	4.46	0.5	15.4	0.19	1.84	1.06	0.03	151400.0	4	C	8	C8	203.0
GA1815Zb1400	0	0	0	0	0	1	0	0	0	0	Arlington	2018-05-31	Rhizosphere		b		True	False	False	GA18-15Zb-1400_S72_L001_R1_001.fastq.gz	GA18-15Zb-1400_S72_L001_R2_001.fastq.gz	86074	1400.0	31.42077	-84.67211999999999		321.666667	Sample	0.004491525	0.24101689999999998	80.17237	59.71356	59.14	0.7488136	3.836102	8.305085	15.0	170.0	5.5	6.1	76.8	3.38	446.0	0.02	0.02	0.84	5.99	59.6	23.8	15.29	0.02	4.46	0.5	15.4	0.19	1.84	1.06	0.03	151400.0	4	F	12	F12	321.6666666667
GA187Za600	0	0	0	0	0	0	0	0	0	0	Tifton-Dryland	2018-05-07	Rhizosphere		a		True	False	False	GA18-7Za-600_S133_L001_R1_001.fastq.gz	GA18-7Za-600_S133_L001_R2_001.fastq.gz	39928	600.0	31.52228	-83.55044000000001		72.033333	Sample	0.002557377	0.23868850000000003	81.72738000000001	62.062459999999994	61.283280000000005	0.7526229999999999	3.991967	8.327869	7.0	166.0	4.56	5.16	38.8	2.53	154.0	0.02	0.02	0.3	17.17	30.1	14.0	5.2	0.02	4.64	1.28	14.77	0.63	1.97	0.75	0.06	7600.0	5	D	2	D2	72.03333333329999
GA1831Zb600	0	0	0	0	0	1	0	0	0	0	Athens	2018-06-01	Rhizosphere		b		True	False	False	GA18-31Zb-600_S80_L001_R1_001.fastq.gz	GA18-31Zb-600_S80_L001_R2_001.fastq.gz	103653	600.0	33.7167	-83.30869		202.666667	Sample	0.0031758059999999998	0.30854840000000006	82.42355	63.16194	61.83274	0.7496774	2.797581	8.645161	31.0	385.0	5.68	6.28	78.5	7.48	802.0	0.03	0.03	0.3	9.29	64.9	197.5	6.74	0.03	10.08	0.46	4.6	0.74	0.39	3.16	0.09	31600.0	4	G	8	G8	202.6666666667
GA183Zb1400	0	0	0	0	0	1	0	0	0	0	Dawson	2018-05-31	Rhizosphere		b		True	False	False	GA18-3Zb-1400_S33_L001_R1_001.fastq.gz	GA18-3Zb-1400_S33_L001_R2_001.fastq.gz	64870	1400.0	31.62073	-84.52261999999999		694.666667	Sample	0.003861017	0.26288140000000004	80.80271	59.061690000000006	57.94831	0.7277965999999999	4.6067800000000005	8.067797	3.0	154.0	4.86	5.46	69.7	3.83	456.0	0.02	0.02	1.36	18.2	56.3	26.0	14.93	0.02	6.49	0.68	74.0	0.49	4.09	0.69	0.01	31400.0	4	C	9	C9	694.6666666666999
GA1812Zb1400	0	0	0	0	0	0	0	0	0	0	Plains_Production_corn	2018-06-07	Rhizosphere		b		True	False	False	GA18-12Zb-1400_S180_L001_R1_001.fastq.gz	GA18-12Zb-1400_S180_L001_R2_001.fastq.gz	64746	1400.0	32.03577	-84.37585		102.033333	Sample	0.004391803	0.3129508	80.59115	59.78934	57.9841	0.7195081999999999	4.946393	8.229508000000001	12.0	334.0	5.2	5.8	63.6	6.39	490.0	0.05	0.07	0.46	15.4	171.2	134.5	82.4	0.025	11.74	0.025	80.1	0.82	3.45	2.57	0.06	121400.0	5	H	1	H1	102.03333333329999
GA1826Za1400	0	0	0	0	0	0	0	0	0	0	Watkinsville_IronHorse	2018-06-21	Rhizosphere		a		True	False	False	GA18-26Za-1400_S113_L001_R1_001.fastq.gz	GA18-26Za-1400_S113_L001_R2_001.fastq.gz	24097	1400.0	33.868320000000004	-83.44991		139.8	Sample	0.003667213	0.3090164	81.84344	63.1641	62.49885	0.7665574	2.9981970000000002	8.327869	26.0																						261400.0	5	B	5	B5	139.8
GA1836Za900	0	0	0	0	0	0	0	0	0	0	Athens	2018-06-01	Rhizosphere		a		True	False	False	GA18-36Za-900_S9_L001_R1_001.fastq.gz	GA18-36Za-900_S9_L001_R2_001.fastq.gz	85924	900.0	33.71668	-83.30863000000001		221.0	Sample	0.0031758059999999998	0.30854840000000006	82.42355	63.16194	61.83274	0.7496774	2.797581	8.645161	36.0	401.0	6.17	6.77	90.6	5.68	681.0	0.03	0.03	0.33	9.06	44.0	189.3	5.83	0.03	10.04	0.41	4.3	0.79	0.015	2.61	0.06	36900.0	4	A	9	A9	221.0
GA1828Za600	0	1	0	0	0	0	0	0	0	0	Watkinsville_IronHorse	2018-05-21	Rhizosphere		a		True	False	False	GA18-28Za-600_S109_L001_R1_001.fastq.gz	GA18-28Za-600_S109_L001_R2_001.fastq.gz	33776	600.0	33.86801	-83.45012		151.333333	Sample	0.003667213	0.3090164	81.84344	63.1641	62.49885	0.7665574	2.9981970000000002	8.327869	28.0	390.0	5.97	6.57	82.7	5.62	760.0	0.025	0.025	0.65	6.66	103.8	66.5	46.1	0.025	7.61	1.63	9.98	0.28	3.24	2.35	0.07	28600.0	5	B	1	B1	151.3333333333
GA1837Za600	0	0	0	0	0	1	0	0	0	0	Blairsville	2018-06-01	Rhizosphere		a		True	False	False	GA18-37Za-600_S43_L001_R1_001.fastq.gz	GA18-37Za-600_S43_L001_R2_001.fastq.gz	85900	600.0	34.84497	-83.9168		258.0	Sample	0.006410294	0.4620588	81.29485	62.65044	62.91161999999999	0.7870588000000001	2.561029	8.764706	37.0	408.0	5.74	6.34	80.4	7.96	877.0	0.025	0.025	0.45	13.86	134.8	194.2	16.39	0.025	11.27	3.38	32.1	0.34	1.63	4.72	0.14	37600.0	4	D	7	D7	258.0
GA1834Za1400	0	1	0	0	0	1	0	0	0	0	Cave_Spring	2018-06-20	Rhizosphere		a		True	False	False	GA18-34Za-1400_S55_L001_R1_001.fastq.gz	GA18-34Za-1400_S55_L001_R2_001.fastq.gz	77763	1400.0	34.14887	-85.29406999999999		337.61	Sample	0.00223038	0.25822779999999995	79.63228000000001	58.09936999999999	57.3819	0.7322784999999999	2.277848	8.21519	34.0	510.0	5.65	6.25	87.1	17.17	2374.0	0.025	0.025	1.07	6.3	448.2	227.1	75.92	0.025	8.03	0.33	95.65	0.13	8.61	4.7	0.17	341400.0	4	E	7	E7	337.61
GA1836Zb1700	0	0	0	0	0	0	0	0	0	0	Athens	2018-07-02	Rhizosphere		b		True	False	False	GA18-36Zb-1700_S88_L001_R1_001.fastq.gz	GA18-36Zb-1700_S88_L001_R2_001.fastq.gz	81918	1700.0	33.716640000000005	-83.30858		201.333333	Sample	0.0031758059999999998	0.30854840000000006	82.42355	63.16194	61.83274	0.7496774	2.797581	8.645161	36.0																						361700.0	4	H	4	H4	201.3333333333
GA1837Zb1400	0	0	0	1	0	0	0	0	0	0	Blairsville	2018-07-09	Rhizosphere		b		True	False	False	GA18-37Zb-1400_S30_L001_R1_001.fastq.gz	GA18-37Zb-1400_S30_L001_R2_001.fastq.gz	70546	1400.0	34.84499	-83.91679		299.0	Sample	0.006410294	0.4620588	81.29485	62.65044	62.91161999999999	0.7870588000000001	2.561029	8.764706	37.0	335.0	5.2	5.8	72.6	8.52	925.0	0.025	0.025	0.38	14.45	135.4	140.4	8.86	0.025	10.77	1.74	28.35	0.25	1.46	4.73	0.16	371400.0	4	C	6	C6	299.0
GA1828Zb600	0	1	0	0	0	0	0	0	0	0	Watkinsville_IronHorse	2018-05-21	Rhizosphere		b		True	False	False	GA18-28Zb-600_S65_L001_R1_001.fastq.gz	GA18-28Zb-600_S65_L001_R2_001.fastq.gz	75202	600.0	33.86801	-83.45012		272.0	Sample	0.003667213	0.3090164	81.84344	63.1641	62.49885	0.7665574	2.9981970000000002	8.327869	28.0	390.0	5.97	6.57	82.7	5.62	760.0	0.025	0.025	0.65	6.66	103.8	66.5	46.1	0.025	7.61	1.63	9.98	0.28	3.24	2.35	0.07	28600.0	4	F	5	F5	272.0
GA1833Za1400	0	0	0	0	0	0	0	0	0	0	Rome	2018-06-20	Rhizosphere		a		True	False	False	GA18-33Za-1400_S146_L001_R1_001.fastq.gz	GA18-33Za-1400_S146_L001_R2_001.fastq.gz	29968	1400.0	34.33838	-85.12748		101.966667	Sample	0.002581013	0.2781013	79.48671	58.986959999999996	56.99646	0.7126581999999999	2.479241	8.35443	33.0	338.0	5.36	5.96	78.8	9.63	1062.0	0.025	0.025	0.12	6.66	241.5	196.2	30.01	0.025	7.14	1.53	41.57	0.01	1.44	2.99	0.11	331400.0	5	E	3	E3	101.96666666670001
GA1829Zb1400	0	0	0	0	0	0	0	0	0	0	Watkinsville_IronHorse	2018-06-21	Rhizosphere		b		True	False	False	GA18-29Zb-1400_S21_L001_R1_001.fastq.gz	GA18-29Zb-1400_S21_L001_R2_001.fastq.gz	59471	1400.0	33.86801	-83.45004		436.666667	Sample	0.003667213	0.3090164	81.84344	63.1641	62.49885	0.7665574	2.9981970000000002	8.327869	29.0	329.0	4.9	5.5	61.4	7.41	778.0	0.025	0.025	0.97	8.01	66.8	52.5	31.68	0.025	10.73	2.24	23.77	0.35	3.9	3.03	0.11	291400.0	4	B	9	B9	436.6666666667
GA1825Za600	0	1	0	0	0	0	0	0	0	0	Watkinsville_IronHorse	2018-05-21	Rhizosphere		a		True	False	False	GA18-25Za-600_S98_L001_R1_001.fastq.gz	GA18-25Za-600_S98_L001_R2_001.fastq.gz	56724	600.0	33.86809	-83.45011		56.333332999999996	Sample	0.003667213	0.3090164	81.84344	63.1641	62.49885	0.7665574	2.9981970000000002	8.327869	25.0	335.0	6.31	6.91	97.3	6.42	1076.0	0.025	0.025	0.49	5.24	74.8	75.4	43.3	0.025	9.47	0.29	13.06	0.08	2.68	2.71	0.05	25600.0	5	A	2	A2	56.3333333333
GA1829Za600	0	0	0	0	0	0	0	0	0	0	Watkinsville_IronHorse	2018-05-21	Rhizosphere		a		True	False	False	GA18-29Za-600_S56_L001_R1_001.fastq.gz	GA18-29Za-600_S56_L001_R2_001.fastq.gz	48145	600.0	33.86799	-83.45004		582.333333	Sample	0.003667213	0.3090164	81.84344	63.1641	62.49885	0.7665574	2.9981970000000002	8.327869	29.0	364.0	6.01	6.61	87.2	6.42	925.0	0.02	0.02	0.56	5.58	89.8	83.8	46.9	0.02	9.47	0.56	7.66	0.08	3.63	2.49	0.07	29600.0	4	E	8	E8	582.3333333333001
GA1826Zb600	0	0	0	0	0	0	0	0	0	0	Watkinsville_IronHorse	2018-05-21	Rhizosphere		b		True	False	False	GA18-26Zb-600_S92_L001_R1_001.fastq.gz	GA18-26Zb-600_S92_L001_R2_001.fastq.gz	96117	600.0	33.86829	-83.44996		177.666667	Sample	0.003667213	0.3090164	81.84344	63.1641	62.49885	0.7665574	2.9981970000000002	8.327869	26.0	571.0	5.33	5.93	53.9	7.68	683.0	0.025	0.025	0.72	8.31	65.1	61.9	41.9	0.025	8.91	1.09	10.86	0.29	2.34	2.79	0.09	26600.0	4	H	8	H8	177.6666666667
GA1813Zb600	0	0	0	0	0	0	0	0	0	0	Tennile	2018-05-07	Rhizosphere		b		True	False	False	GA18-13Zb-600_S94_L001_R1_001.fastq.gz	GA18-13Zb-600_S94_L001_R2_001.fastq.gz	90790	600.0	32.892559999999996	-82.76508000000001		388.0	Sample	0.003480328	0.3142623	80.08606999999999	58.223769999999995	58.49869	0.7581967	3.129836	7.803278999999999	13.0	433.0	6.56	7.16	100.0	6.42	1065.5	0.02	0.045	0.935	8.795	135.9	90.8	14.3	0.02	11.21	1.39	51.36	1.015	3.23	1.39	0.04	13600.0	4	H	10	H10	388.0
GA1814Zb1400	0	1	0	1	0	1	0	0	0	0	Dawson	2018-05-31	Rhizosphere		b		True	False	False	GA18-14Zb-1400_S111_L001_R1_001.fastq.gz	GA18-14Zb-1400_S111_L001_R2_001.fastq.gz	47611	1400.0	31.66647	-84.5211		73.06666700000001	Sample	0.003861017	0.26288140000000004	80.80271	59.061690000000006	57.94831	0.7277965999999999	4.6067800000000005	8.067797	14.0	171.0	5.11	5.71	63.7	3.13	302.0	0.02	0.02	0.49	9.86	58.9	32.9	20.95	0.02	13.75	0.23	51.1	0.35	1.4	0.75	0.01	141400.0	5	B	3	B3	73.0666666667
GA1824Za600	0	0	0	0	0	0	0	0	0	0	Watkinsville_IronHorse	2018-05-21	Rhizosphere		a		True	False	False	GA18-24Za-600_S160_L001_R1_001.fastq.gz	GA18-24Za-600_S160_L001_R2_001.fastq.gz	29234	600.0	33.8681	-83.44997		95.56666700000001	Sample	0.003667213	0.3090164	81.84344	63.1641	62.49885	0.7665574	2.9981970000000002	8.327869	24.0	949.0	5.69	6.29	52.9	8.3	715.0	0.025	0.025	0.77	6.65	79.8	69.2	42.4	0.025	7.86	1.71	6.6	0.38	2.1	2.85	0.06	24600.0	5	F	5	F5	95.5666666667
GA1829Zb600	0	1	0	0	0	0	0	0	0	0	Watkinsville_IronHorse	2018-05-21	Rhizosphere		b		True	False	False	GA18-29Zb-600_S122_L001_R1_001.fastq.gz	GA18-29Zb-600_S122_L001_R2_001.fastq.gz	21386	600.0	33.86799	-83.45004		102.733333	Sample	0.003667213	0.3090164	81.84344	63.1641	62.49885	0.7665574	2.9981970000000002	8.327869	29.0	364.0	6.01	6.61	87.2	6.42	925.0	0.02	0.02	0.56	5.58	89.8	83.8	46.9	0.02	9.47	0.56	7.66	0.08	3.63	2.49	0.07	29600.0	5	C	3	C3	102.7333333333
GA1835Zb1400	0	0	0	0	0	1	0	0	0	0	Pavo	2018-05-31	Rhizosphere		b		True	False	False	GA18-35Zb-1400_S48_L001_R1_001.fastq.gz	GA18-35Zb-1400_S48_L001_R2_001.fastq.gz	89082	1400.0	30.983009999999997	-83.65904		208.333333	Sample	0.004208475	0.2908475	81.38237	60.77203000000001	58.81763	0.7152542	3.931525	8.423729	35.0	358.0	6.59	7.19	100.0	7.92	1104.0	0.025	0.06	1.74	20.13	221.0	202.4	17.51	0.025	33.23	0.57	72.2	0.2	6.59	2.64	0.1	351400.0	4	D	12	D12	208.3333333333
GA1833Zb600	0	0	0	0	0	0	0	0	0	0	Rome	2018-05-02	Rhizosphere		b		True	False	False	GA18-33Zb-600_S70_L001_R1_001.fastq.gz	GA18-33Zb-600_S70_L001_R2_001.fastq.gz	54488	600.0	34.338359999999994	-85.12744		480.0	Sample	0.002581013	0.2781013	79.48671	58.986959999999996	56.99646	0.7126581999999999	2.479241	8.35443	33.0	427.0	6.09	6.69	91.1	8.64	1105.0	0.025	0.025	0.115	5.59	249.0	201.2	36.1	0.025	8.72	0.79	38.01	0.09	1.34	3.04	0.1	33600.0	4	F	10	F10	480.0
GA1811Za1400	0	0	0	0	0	1	0	0	0	0	Fort_Valley	2018-06-07	Rhizosphere		a		True	False	False	GA18-11Za-1400_S68_L001_R1_001.fastq.gz	GA18-11Za-1400_S68_L001_R2_001.fastq.gz	90312	1400.0	32.501540000000006	-83.94552		229.0	Sample	0.0036770490000000004	0.30032790000000004	79.52705	59.882459999999995	58.004259999999995	0.7219671999999999	5.210656	8.114754	11.0	317.0	4.92	5.52	60.3	6.86	628.0	0.05	0.05	0.33	17.16	179.7	62.4	31.63	0.02	5.24	0.91	75.2	0.26	6.98	2.28	0.08	111400.0	4	F	8	F8	229.0
GA1834Zb600	0	1	0	0	0	1	0	0	0	0	Cave_Spring	2018-05-02	Rhizosphere		b		True	False	False	GA18-34Zb-600_S10_L001_R1_001.fastq.gz	GA18-34Zb-600_S10_L001_R2_001.fastq.gz	71077	600.0	34.14886	-85.29418000000001		375.333333	Sample	0.00223038	0.25822779999999995	79.63228000000001	58.09936999999999	57.3819	0.7322784999999999	2.277848	8.21519	34.0	682.0	6.15	6.75	95.2	20.78	3307.0	0.07	0.02	1.12	4.56	446.1	248.6	153.7	0.025	9.01	3.41	70.6	0.18	10.72	5.73	0.23	34600.0	4	A	10	A10	375.3333333333
GA185Zb600	0	0	0	0	0	1	0	0	0	0	Arlington	2018-05-02	Rhizosphere		b		True	False	False	GA18-5Zb-600_S182_L001_R1_001.fastq.gz	GA18-5Zb-600_S182_L001_R2_001.fastq.gz	34088	600.0	31.41781	-84.67116		134.75	Sample	0.004491525	0.24101689999999998	80.17237	59.71356	59.14	0.7488136	3.836102	8.305085	5.0	166.0	5.25	5.85	66.3333333333	2.88	319.0	0.02	0.02	1.0933333333	7.2333333333	51.9	18.366666666700002	14.2	0.02	5.94	0.59	34.3	0.1633333333	2.51	0.7333333333	0.0166666667	5600.0	5	H	3	H3	134.75
GA1835Za1400	0	0	0	0	0	0	0	0	0	0	Pavo	2018-05-31	Rhizosphere		a		True	False	False	GA18-35Za-1400_S99_L001_R1_001.fastq.gz	GA18-35Za-1400_S99_L001_R2_001.fastq.gz	25706	1400.0	30.983009999999997	-83.65904		47.133333	Sample	0.004208475	0.2908475	81.38237	60.77203000000001	58.81763	0.7152542	3.931525	8.423729	35.0	358.0	6.59	7.19	100.0	7.92	1104.0	0.025	0.06	1.74	20.13	221.0	202.4	17.51	0.025	33.23	0.57	72.2	0.2	6.59	2.64	0.1	351400.0	5	A	3	A3	47.1333333333
GA1812Zb600	0	0	0	0	0	0	0	0	0	0	Plains_Production_corn	2018-05-07	Rhizosphere		b		True	False	False	GA18-12Zb-600_S5_L001_R1_001.fastq.gz	GA18-12Zb-600_S5_L001_R2_001.fastq.gz	90549	600.0	32.03573	-84.37585		332.333333	Sample	0.004391803	0.3129508	80.59115	59.78934	57.9841	0.7195081999999999	4.946393	8.229508000000001	12.0	280.0	5.94	6.54	85.9	5.31	558.0	0.02	0.09	0.35	10.2	105.6	175.8	14.5	0.02	9.59	2.45	48.26	0.29	2.64	2.48	0.09	12600.0	4	A	5	A5	332.3333333333
GA187Za1400	0	0	0	0	0	1	0	0	0	0	Tifton-Dryland	2018-06-07	Rhizosphere		a		True	False	False	GA18-7Za-1400_S144_L001_R1_001.fastq.gz	GA18-7Za-1400_S144_L001_R2_001.fastq.gz	62850	1400.0	31.52226	-83.55033		62.166667000000004	Sample	0.002557377	0.23868850000000003	81.72738000000001	62.062459999999994	61.283280000000005	0.7526229999999999	3.991967	8.327869	7.0	160.0	4.61	5.21	36.5	2.25	131.0	0.02	0.02	0.29	14.88	22.7	10.6	5.87	0.02	4.0	0.39	19.2	0.43	1.74	0.58	0.02	71400.0	5	E	1	E1	62.1666666667
GA1817Za600	0	0	0	0	0	0	0	0	0	0	Plains_SWVT	2018-05-07	Rhizosphere		a		True	False	False	GA18-17Za-600_S93_L001_R1_001.fastq.gz	GA18-17Za-600_S93_L001_R2_001.fastq.gz	122699	600.0	32.03617	-84.37579000000001		196.666667	Sample	0.004391803	0.3129508	80.58918	59.78705	57.9841	0.7195081999999999	4.946393	8.229508000000001	17.0	264.0	5.59	6.19	76.7	5.33	515.0	0.02	0.07	0.34	11.03	146.8	130.7	18.3	0.02	10.93	1.78	32.96	0.65	2.82	2.43	0.1	17600.0	4	H	9	H9	196.6666666667
GA184Za1400	0	1	0	0	0	1	0	0	0	0	Fitzgerald	2018-05-31	Rhizosphere		a		True	False	False	GA18-4Za-1400_S145_L001_R1_001.fastq.gz	GA18-4Za-1400_S145_L001_R2_001.fastq.gz	33179	1400.0	31.66868	-83.30303		174.666667	Sample	0.001486441	0.1333898	79.90034	60.10508000000001	59.26356	0.7445763000000001	4.1525419999999995	8.118644	4.0	215.0	4.93	5.53	53.7	3.81	309.0	0.02	0.05	0.51	13.11	92.5	29.6	11.33	0.02	4.14	3.48	39.8	1.03	6.04	1.3	0.02	41400.0	5	E	2	E2	174.6666666667
GA1833Za600	0	0	0	0	0	0	0	0	0	0	Rome	2018-05-02	Rhizosphere		a		True	False	False	GA18-33Za-600_S110_L001_R1_001.fastq.gz	GA18-33Za-600_S110_L001_R2_001.fastq.gz	55085	600.0	34.338359999999994	-85.12744		46.4	Sample	0.002581013	0.2781013	79.48671	58.986959999999996	56.99646	0.7126581999999999	2.479241	8.35443	33.0	427.0	6.09	6.69	91.1	8.64	1105.0	0.025	0.025	0.115	5.59	249.0	201.2	36.1	0.025	8.72	0.79	38.01	0.09	1.34	3.04	0.1	33600.0	5	B	2	B2	46.4
GA1817Zb600	0	0	0	0	0	0	0	0	0	0	Plains_SWVT	2018-05-07	Rhizosphere		b		True	False	False	GA18-17Zb-600_S52_L001_R1_001.fastq.gz	GA18-17Zb-600_S52_L001_R2_001.fastq.gz	36420	600.0	32.03617	-84.37579000000001		450.333333	Sample	0.004391803	0.3129508	80.58918	59.78705	57.9841	0.7195081999999999	4.946393	8.229508000000001	17.0	264.0	5.59	6.19	76.7	5.33	515.0	0.02	0.07	0.34	11.03	146.8	130.7	18.3	0.02	10.93	1.78	32.96	0.65	2.82	2.43	0.1	17600.0	4	E	4	E4	450.3333333333
GA1831Za1000	0	1	0	0	1	0	0	0	1	0	Athens	2018-06-19	Rhizosphere		a		True	False	False	GA18-31Za-1000_S19_L001_R1_001.fastq.gz	GA18-31Za-1000_S19_L001_R2_001.fastq.gz	74530	1000.0	33.7167	-83.30869		329.666667	Sample	0.0031758059999999998	0.30854840000000006	82.42355	63.16194	61.83274	0.7496774	2.797581	8.645161	31.0	348.0	6.18	6.78	94.1	7.47	983.0	0.025	0.025	0.125	11.9	72.4	225.8	10.95	0.025	9.65	1.32	8.89	0.34	0.76	3.16	0.06	311000.0	4	B	7	B7	329.6666666667
GA1831Zb1400	0	0	0	1	0	0	0	0	0	0	Athens	2018-07-02	Rhizosphere		b		True	False	False	GA18-31Zb-1400_S17_L001_R1_001.fastq.gz	GA18-31Zb-1400_S17_L001_R2_001.fastq.gz	69490	1400.0	33.7167	-83.30870999999999		160.333333	Sample	0.0031758059999999998	0.30854840000000006	82.42355	63.16194	61.83274	0.7496774	2.797581	8.645161	31.0	233.0	5.95	6.55	91.4	6.99	1062.0	0.025	0.025	0.66	5.55	101.8	94.2	25.57	0.025	8.55	2.11	24.32	0.12	6.87	2.74	0.04	311400.0	4	B	5	B5	160.3333333333
GA1824Zb1400	0	0	0	0	0	0	0	0	0	0	Watkinsville_IronHorse	2018-06-21	Rhizosphere		b		True	False	False	GA18-24Zb-1400_S89_L001_R1_001.fastq.gz	GA18-24Zb-1400_S89_L001_R2_001.fastq.gz	81160	1400.0	33.868120000000005	-83.44997		193.666667	Sample	0.003667213	0.3090164	81.84344	63.1641	62.49885	0.7665574	2.9981970000000002	8.327869	24.0	272.0	5.44	6.04	80.4	7.72	1033.0	0.025	0.025	1.54	7.9	98.1	89.3	29.02	0.025	8.92	0.41	35.41	0.06	10.39	3.32	0.1	241400.0	4	H	5	H5	193.6666666667
GA1830Za600	0	1	0	0	0	0	0	0	0	0	Athens	2018-05-18	Rhizosphere		a		True	False	False	GA18-30Za-600_S136_L001_R1_001.fastq.gz	GA18-30Za-600_S136_L001_R2_001.fastq.gz	22459	600.0	33.72173	-83.30781		142.333333	Sample	0.0031758059999999998	0.30854840000000006	82.42355	63.16194	61.83274	0.7496774	2.797581	8.645161	30.0	865.0	6.11	6.71	80.2	7.36	924.0	0.025	0.025	0.55	63.29	105.9	116.4	52.0	0.025	10.72	4.09	30.04	0.14	1.15	2.22	0.06	30600.0	5	D	5	D5	142.3333333333
GA1810Za600	0	1	0	0	1	0	0	0	0	0	Midville	2018-05-07	Rhizosphere		a	_maybe_replace_SWVT	True	False	False	GA18-10Za-600_S83_L001_R1_001.fastq.gz	GA18-10Za-600_S83_L001_R2_001.fastq.gz	74758	600.0	32.87781	-82.21692		203.988167	Sample	0.003737705	0.3814754	80.98607	59.5459	58.80475	0.7388524999999999	4.611967	8.016392999999999	10.0	172.0	5.84	6.44	84.3	3.15	348.0	0.06	0.07	0.28	12.77	163.2	56.1	5.1	0.02	7.65	1.15	26.45	0.58	2.81	0.98	0.07	10600.0	4	G	11	G11	203.98816666669998
